remote_id	brokerage_id	sid	r	q	p	n	percentage
1051121	83	341	9	3	560	Seats 5-7. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
1051173	83	317	8	3	591	Seats 10-12. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
1051117	83	340	7	3	599	Seats 15-17. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
1051205	83	323	10	5	641	Seats 7-11. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
1051293	83	144	24	12	650	Seats 1-12. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
1050316	83	316	4	4	697	Seats 1-4. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
1050462	83	343	6	4	718	Seats 19-22. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
1051345	83	214	19	6	761	Seats 9-14. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
113342316	404	329	7	4	763	Seats 16-19. XFER MOBILE ENTRY TMX. Ready to ship by 10/29/2019	15
1051261	83	148	21	25	780	Seats 1-25. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
113639235	9210	412	9	8	829	Ready to ship by 10/29/2019.	13
1050446	83	341	5	5	835	Seats 4-8. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
1565488	203	239	5	6	865	Seats 1-6. TM MOBILE XFER. Ready to ship by 10/26/2019	14
1565557	203	239	1	4	865	Seats 1-4. TM MOBILE XFER. Ready to ship by 10/26/2019	14
113639247	9210	417	9	8	921	Ready to ship by 10/29/2019.	13
1051333	83	151	17	15	943	Seats 1-15. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
1050308	83	316	2	3	963	Seats 19-21. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
113639259	9210	420	9	8	1013	Ready to ship by 10/29/2019.	13
1051237	83	210	11	11	1021	Seats 3-13. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
1051125	83	343	3	4	1030	Seats 19-22. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
1050348	83	329	3	2	1045	Seats 3-4. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
1050296	83	315	1	6	1069	Seats 9-14. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
1050060	83	215	8	4	1093	Seats 15-18. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
116934493	404	147	17	8	1100	Seats 9-16. XFER MOBILE ENTRY TMX. Ready to ship by 10/29/2019	15
3607352	9461	BDELTA	P6	1	1118	Seat 14. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
1565519	203	215	12	6	1133	Seats 9-14. TM MOBILE XFER. Ready to ship by 10/26/2019	14
113639272	9210	426	9	8	1136	Ready to ship by 10/29/2019.	13
116839956	9207	330	6	4	1188	Seats 3-6. Mobile Entry. Scan your tickets from your mobile phone for this event. Do not print these tickets.  MOBILEQR. Ready to ship by 10/28/2019	14
1051494	83	116	20	7	1268	Seats 13-19. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
1051381	83	112	11	3	1363	Seats 14-16. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
113639284	9210	315	9	8	1363	Ready to ship by 10/29/2019.	13
113639345	9210	154	25	8	1363	Ready to ship by 10/29/2019.	13
84724062	9335	317	2	4	1492	Seats 9-12. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/28/2019	13
113639296	9210	317	9	8	1498	Ready to ship by 10/29/2019.	13
113639308	9210	211	15	8	1498	Ready to ship by 10/29/2019.	13
1049675	83	210	1	3	1510	Seats 8-10. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
3591648	9461	312	5	4	1530	Seats 1-4. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
3591651	9461	340	3	6	1547	Seats 12-17. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
3591650	9461	340	2	8	1559	Seats 10-17. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
1050336	83	324	3	3	1560	Seats 13-15. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
3591653	9461	341	1	6	1569	Seats 1-6. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
3591646	9461	317	6	13	1575	Seats 4-16. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
277724254	109	340	3	2	1582	XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets. World Series Home Game 4. Round 4 Home Game 4.. Ready to ship by 10/28/2019	15
3591667	9461	431	4	19	1586	Seats 1-19. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
3591657	9461	422	2	6	1603	Seats 1-6. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
84275404	2388	153	14	2	1611	Mobile ticket: Scan your tickets from your mobile phone for this event. Do not print these tickets. MOBILEQR. Ready to ship by 10/29/2019	13
3591661	9461	426	3	12	1620	Seats 15-26. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
113639320	9210	213	15	8	1632	Ready to ship by 10/29/2019.	13
3591660	9461	426	2	16	1636	Seats 7-22. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
3591668	9461	433	1	15	1648	Seats 1-15. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
1051373	83	107	5	4	1649	Seats 17-20. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
1049140	83	114	5	4	1650	Seats 5-8. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
277724253	109	312	3	3	1668	XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets. World Series Home Game 4. Round 4 Home Game 4.. Ready to ship by 10/28/2019	15
3591628	9461	325	5	3	1676	Seats 15-17. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
3591631	9461	327	5	8	1687	Seats 3-10. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
113639332	9210	215	15	8	1688	Ready to ship by 10/29/2019.	13
3591634	9461	330	4	8	1698	Seats 5-12. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
3591630	9461	327	4	5	1709	Seats 5-9. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
3591622	9461	324	3	4	1726	Seats 1-4. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
3591636	9461	331	2	9	1742	Seats 1-9. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
277723983	109	431	2	2	1748	XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets. World Series Home Game 4. Round 4 Home Game 4.. Ready to ship by 10/28/2019	15
3591619	9461	322	2	4	1765	Seats 1-4. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
3591627	9461	325	2	4	1777	Seats 11-14. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
3591643	9461	329	2	4	1788	Seats 6-9. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
1049158	83	118	7	4	1803	Seats 1-4. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
3591645	9461	330	1	4	1810	Seats 3-6. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
277724044	109	316	2	3	1823	XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets. World Series Home Game 4. Round 4 Home Game 4.. Ready to ship by 10/28/2019	15
84275380	2388	239	10	5	1825	Mobile ticket: Scan your tickets from your mobile phone for this event. Do not print these tickets. MOBILEQR. Ready to ship by 10/29/2019	13
3591638	9461	333	1	8	1827	Seats 5-12. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
1565593	203	140	3	4	1828	Seats 9-12. TM MOBILE XFER. Ready to ship by 10/26/2019	14
1565605	203	140	2	2	1828	Seats 11-12. TM MOBILE XFER. Ready to ship by 10/26/2019	14
1565617	203	112	3	2	1828	Seats 7-8. TM MOBILE XFER. Ready to ship by 10/26/2019	14
1565629	203	112	3	2	1828	Seats 11-12. TM MOBILE XFER. Ready to ship by 10/26/2019	14
3591625	9461	325	1	6	1871	Seats 11-16. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
3591642	9461	328	6	11	1900	Seats 7-17. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
3591606	9461	243	3	9	1927	Seats 1-9. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
3591604	9461	242	2	9	1983	Seats 1-9. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
1049699	83	214	1	3	2009	Seats 9-11. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
3591602	9461	212	1	3	2039	Seats 5-7. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
85818948	2388	111	16	4	2040	Mobile ticket: Scan your tickets from your mobile phone for this event. Do not print these tickets. MOBILEQR. Ready to ship by 10/29/2019	13
113639357	9210	112	18	4	2044	Ready to ship by 10/29/2019.	13
3591607	9461	144	9	3	2095	Seats 1-3. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
5siteEntry0001847407519	112	11	2	2135	electronic transfer. Seats 12-13. 	17.647
85818887	2388	112	7	4	2147	Mobile ticket: Scan your tickets from your mobile phone for this event. Do not print these tickets. MOBILEQR. Ready to ship by 10/29/2019	13
3591613	9461	148	7	4	2151	Seats 1-4. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
1049166	83	120	5	2	2163	Seats 1-2. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
115929867	413	137	20	6	2163	Seats 9-14. TMX XFER. Ready to ship by 10/28/2019	14
277724824	109	144	12	4	2185	XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets. World Series Home Game 4. Round 4 Home Game 4.. Ready to ship by 10/28/2019	15
3591612	9461	149	4	6	2206	Seats 1-6. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
116839945	9207	431	2	2	2219	Seats 10-11. Mobile Entry. Scan your tickets from your mobile phone for this event. Do not print these tickets.  MOBILEQR. Ready to ship by 10/28/2019	14
3591609	9461	147	2	8	2291	Seats 3-10. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
3591598	9461	215	10	4	2318	Seats 1-4. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
1049128	83	114	2	4	2331	Seats 9-12. XFER Mobile Entry Tickets. Must have smart device on hand to enter event. Do not print these tickets.. Ready to ship by 10/26/2019	14
3591596	9461	214	4	4	2374	Seats 1-4. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
3591599	9461	239	2	5	2430	Seats 11-15. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
3591591	9461	140	12	11	2486	Seats 1-11. XFER Mobile Entry Ticket. Must have smart device on hand to enter event. Mobile Entry Tickets. Must have smart device on hand to enter event.. Ready to ship by 10/26/2019	14
